,Season,Round,Home,Away,FormDiff_01,FormDiff_033,FormDiff_05,FormDiff_066,L_k_Pts_Diff,L_k_St_A_Diff,L_k_Gls_A_Diff,L_k_cor_A_Diff,L_k_Off_A_Diff,L_k_Poss_A_Diff,L_k_Fls_A_Diff,Att_Diff,Mid_Diff,Def_Diff,Rat_Diff,Bud_Diff,Goal_Diff,Pts_Diff,W_Pts_Diff,Result
1510,2017/2018,20,Bayer Leverkusen,Mainz 05,0.5622370718724591,0.6487747141163326,0.16954421997070312,-0.7238218135730083,0.875,0.25,0.5,-0.125,1.25,-3.75,-3.125,3,4,5,0,23000000,15,11,0.27777777777777773,H
1511,2017/2018,20,Hannover 96,Wolfsburg,0.14373746475075289,0.4371812487913287,0.6240558624267578,0.8179510444629087,0.0,0.5,0.5,0.5,-0.125,-1.75,1.5,-1,-5,0,0,-32000000,6,7,0.19444444444444448,A
1512,2017/2018,21,Köln,Borussia Dortmund,-0.42881450157859924,-0.2639436976452687,-0.44332027435302734,-1.3178315222035422,0.0,0.75,-0.25,-1.25,-0.375,-14.5,3.25,-6,-3,-6,0,-35500000,-27,-18,0.12037037037037035,A
1513,2017/2018,21,Hertha BSC,Hoffenheim,0.16447611960080877,0.523532285629277,0.4735450744628906,0.2416274270789121,0.625,0.25,0.125,-0.375,-1.0,-7.125,-4.25,-5,1,1,0,-14000000,-4,-1,0.2222222222222222,D
1514,2017/2018,21,Freiburg,Bayer Leverkusen,-0.2917486421843354,-0.06910412799678389,0.16082191467285156,0.1424621685407892,-0.125,-0.375,-0.125,-0.875,-1.0,-2.875,0.375,-5,-7,-6,-1,-26500000,-19,-10,-0.09259259259259256,D
1515,2017/2018,21,Schalke 04,Werder Bremen,0.48320371724708666,0.508064770468552,0.7765121459960938,1.388768576090848,0.25,-0.25,1.0,0.25,0.625,6.875,0.375,1,2,4,0,27000000,16,17,0.18518518518518517,A
1516,2017/2018,21,Mainz 05,Bayern Munich,-1.535220615672742,-3.3514938015413445,-3.6302223205566406,-3.103340091396747,-2.0,-1.75,-1.0,-2.125,-1.375,-11.625,5.5,-15,-10,-12,-1,-81000000,-25,-30,-0.7037037037037037,A
1517,2017/2018,21,Wolfsburg,Stuttgart,0.40410685530851453,0.744361471133645,0.8143205642700195,0.8253202111099394,0.625,0.25,0.375,-1.75,-1.0,-6.125,-2.375,1,4,0,0,31000000,7,3,0.2222222222222222,D
1518,2017/2018,21,Borussia Mönchengladbach,RB Leipzig,0.03651363659950202,0.1562390441707857,0.1803293228149414,0.15258349841694202,0.125,-0.625,-0.375,-0.875,-1.25,-5.375,-1.125,0,-2,2,0,-25000000,-2,-1,0.05555555555555558,A
1519,2017/2018,21,Augsburg,Eintracht Frankfurt,-0.3901768915923658,-0.9674275286493526,-1.2741518020629883,-1.3779814855037635,-0.25,1.25,0.125,1.5,-0.5,4.25,-6.125,2,-3,0,0,-3000000,3,-5,-0.2870370370370371,H
1520,2017/2018,21,Hamburger SV,Hannover 96,-0.37024962956998553,-0.34780353908476846,-0.1984233856201172,0.04938734813030088,-0.375,0.0,-0.875,0.875,0.625,0.75,4.625,-3,-1,-1,-1,20000000,-12,-11,-0.2222222222222222,D
1521,2017/2018,22,RB Leipzig,Augsburg,0.10001582954499644,-0.5520744098401906,-1.392512321472168,-2.0844951370174605,-0.375,1.25,-0.375,0.25,1.25,7.25,1.625,0,6,1,0,40500000,1,4,-0.03703703703703709,H
1522,2017/2018,22,Borussia Dortmund,Hamburger SV,0.5825803704024286,1.008073261385378,1.3693580627441406,2.1266500761948697,1.125,-1.125,1.0,-1.25,1.25,7.25,-5.5,8,7,7,1,20000000,28,17,0.42592592592592593,H
1523,2017/2018,22,Hoffenheim,Mainz 05,0.21160444655688126,0.19684964199989718,0.1642756462097168,0.044931112904339876,0.375,-1.0,0.125,-0.875,1.25,4.75,0.75,4,1,2,0,13000000,8,8,0.009259259259259273,H
1524,2017/2018,22,Eintracht Frankfurt,Köln,0.5626872259313798,0.5571021669749305,0.6370759010314941,0.565054993764107,0.375,-0.75,-0.125,0.125,0.75,7.25,2.75,1,0,0,0,-2000000,9,20,0.06481481481481483,H
1525,2017/2018,22,Bayer Leverkusen,Hertha BSC,0.40065887132986977,0.7432644693161002,0.949000358581543,1.26053508587573,0.625,1.25,0.625,3.0,0.5,7.5,-1.25,4,2,2,0,24000000,13,8,0.21296296296296297,A
1526,2017/2018,22,Hannover 96,Freiburg,-0.21597832758421376,-0.7295139085767697,-0.8274316787719727,-0.9135761395012751,-0.625,0.375,0.0,0.25,0.25,2.25,-1.375,2,2,2,1,4500000,7,3,-0.17592592592592599,H
1527,2017/2018,22,Bayern Munich,Schalke 04,1.190424264724122,3.1097520824229337,3.473102569580078,3.1543050999566926,1.75,0.5,0.875,1.625,0.0,8.625,-3.0,13,6,7,1,56000000,18,19,0.6018518518518519,H
1528,2017/2018,22,Stuttgart,Borussia Mönchengladbach,-0.34395197771279196,0.018553345647989272,0.37213134765625,0.601416156944972,-0.375,-1.625,-0.375,0.5,-0.25,-0.5,0.75,-2,-3,-3,0,-14000000,-13,-10,-0.08333333333333331,H
