Season,Round,HomeTeam,AwayTeam,Date,Hour,HomeTeamPlayers,AwayTeamPlayers,GoalsHome,GoalsAway,CornersHome,CornersAway,ShotsTargetHome,ShotsTargetAway,ShotsWideHome,ShotsWideAway,FoulsHome,FoulsAway,OffsidesHome,OffsidesAway,HomeTeamPossession,AwayTeamPossession
2013/2014,13,Hertha BSC,Bayer Leverkusen,23/11/2013,15:30,T. Kraft/F. Lustenberger/S. Langkamp/P. Pekarík/J. van den Bergh/H. Hosogai/Ä. Ben-Hatira/P. Skjelbred/T. Ciğerci/S. Allagui/A. Ramos,B. Leno/L. Bender/Ö. Toprak/P. Wollscheid/G. Donati/S. Rolfes/S. Sam/G. Castro/E. Can/S. Kießling/Son Heung-Min,0,1,9,1,4,3,6,1,14,15,1,3,57,43
2013/2014,13,Borussia Dortmund,Bayern Munich,23/11/2013,18:30,R. Weidenfeller/M. Friedrich/S. Bender/S. Papastathopoulos/K. Großkreutz/E. Durm/N. Şahin/J. Błaszczykowski/H. Mkhitaryan/R. Lewandowski/M. Reus,M. Neuer/P. Lahm/Rafinha/J. Boateng/D. Alaba/Dante/A. Robben/Javi Martínez/T. Kroos/M. Mandžukić/T. Müller,0,3,2,3,6,8,2,4,6,12,1,5,38,62
2013/2014,13,Hamburger SV,Hannover 96,24/11/2013,15:30,R. Adler/M. Jansen/J. Djourou/H. Westermann/J. Tah/I. Iličević/T. Rincón/M. Beister/M. Badelj/H. Çalhanoğlu/P. Lasogga,R. Zieler/C. Schulz/H. Sakai/S. Sané/S. Huszti/L. Andreasen/L. Stindl/M. Schmiedebach/E. Prib/J. Schlaudraff/M. Diouf,3,1,7,3,6,3,5,3,18,25,1,4,52,48
2013/2014,13,Werder Bremen,Mainz 05,24/11/2013,17:30,S. Mielitz/A. Lukimya/T. Gebre Selassie/L. Caldirola/C. Makiadi/C. Fritz/A. Hunt/F. Kroos/E. Elia/F. Di Santo/D. Selke,L. Karius/N. Noveski/Zdeněk Pospěch/S. Bell/E. Soto/N. Zimling/Park Joo-Ho/N. Müller/J. Geis/S. Okazaki/S. Polter,2,3,8,8,6,6,7,7,18,20,0,4,61,39
2013/2014,14,Wolfsburg,Hamburger SV,29/11/2013,20:30,D. Benaglio/P. Ochs/Naldo/R. Rodríguez/R. Knoche/Luiz Gustavo/I. Perišić/S. Medojević/D. Caligiuri/M. Arnold/I. Olić,R. Adler/M. Jansen/J. Djourou/H. Westermann/J. Tah/T. Rincón/M. Beister/M. Badelj/T. Arslan/H. Çalhanoğlu/P. Lasogga,1,1,2,3,3,7,13,6,15,9,0,2,59,41
2013/2014,14,Bayern Munich,Eintracht Braunschweig,30/11/2013,15:30,M. Neuer/Rafinha/D. Van Buyten/D. Alaba/Dante/A. Robben/Javi Martínez/T. Kroos/Thiago Alcântara/M. Götze/T. Müller,D. Davari/M. Caligiuri/D. Dogan/E. Bičakčić/O. Elabdellaoui/N. Theuerkauf/K. Kratz/M. Boland/D. Kumbela/S. Jackson/K. Bellarabi,2,0,6,3,7,3,3,2,9,14,2,1,78,22
2013/2014,14,Bayer Leverkusen,Nürnberg,30/11/2013,15:30,B. Leno/E. Spahić/L. Bender/P. Wollscheid/G. Donati/S. Rolfes/J. Hegeler/G. Castro/E. Can/S. Kießling/Son Heung-Min,R. Schäfer/E. Pogatetz/M. Hasebe/P. Nilsson/A. Hloušek/M. Plattenhardt/M. Feulner/H. Kiyotake/T. Chandler/M. Frantz/J. Drmic,3,0,4,5,6,6,6,5,18,13,1,0,53,47
2013/2014,14,Hoffenheim,Werder Bremen,30/11/2013,15:30,K. Casteels/A. Beck/D. Abraham/N. Süle/E. Polanski/S. Salihović/S. Rudy/K. Herdling/S. Schipplock/K. Volland/Roberto Firmino,R. Wolf/A. Lukimya/T. Gebre Selassie/L. Caldirola/S. García/C. Makiadi/C. Fritz/A. Hunt/M. Ekici/E. Elia/F. Di Santo,4,4,3,9,2,2,5,1,24,19,6,6,53,47
2013/2014,14,Mainz 05,Borussia Dortmund,30/11/2013,15:30,L. Karius/N. Noveski/Zdeněk Pospěch/S. Bell/E. Soto/N. Zimling/Park Joo-Ho/N. Müller/J. Geis/S. Okazaki/S. Polter,R. Weidenfeller/M. Friedrich/Ł. Piszczek/S. Bender/S. Papastathopoulos/K. Großkreutz/E. Durm/J. Błaszczykowski/P. Aubameyang/R. Lewandowski/M. Reus,1,3,6,5,5,2,4,3,9,14,4,3,45,55
2013/2014,14,Hertha BSC,Augsburg,30/11/2013,15:30,T. Kraft/F. Lustenberger/S. Langkamp/P. Pekarík/J. van den Bergh/M. Ndjeng/H. Hosogai/Ä. Ben-Hatira/P. Skjelbred/T. Ciğerci/A. Ramos,M. Hitz/J. Callsen-Bracker/P. Verhaegh/R. Klavan/R. Philp/K. Vogt/M. Ostrzolek/Halil Altıntop/T. Werner/D. Baier/A. Milik,0,0,6,3,4,0,3,3,16,22,3,3,59,41
2013/2014,14,Schalke 04,Stuttgart,30/11/2013,18:30,R. Fährmann/A. Uchida/C. Fuchs/B. Höwedes/J. Matip/J. Jones/K. Boateng/R. Neustädter/J. Draxler/J. Farfán/Ádám Szalai,S. Ulreich/D. Schwaab/G. Niedermeier/K. Rausch/A. Rüdiger/C. Gentner/W. Kvist/A. Maxim/V. Ibišević/I. Traoré/T. Werner,3,0,5,2,3,2,5,6,15,15,5,3,44,56
2013/2014,14,Hannover 96,Eintracht Frankfurt,01/12/2013,15:30,R. Zieler/C. Schulz/Marcelo/H. Sakai/A. Hoffmann/S. Huszti/L. Andreasen/M. Schmiedebach/E. Prib/M. Diouf/A. Sobiech,K. Trapp/C. Zambrano/B. Oczipka/S. Jung/T. Barnetta/P. Schwegler/T. Inui/M. Lanig/J. Flum/V. Kadlec/S. Schröck,2,0,7,7,0,4,6,1,20,18,6,1,55,45
2013/2014,14,Borussia Mönchengladbach,Freiburg,01/12/2013,17:30,M. ter Stegen/O. Wendt/M. Stranzl/T. Jantschke/J. Korb/J. Arango/G. Xhaka/C. Kramer/Raffael/M. Kruse/P. Herrmann,O. Baumann/F. Diagne/O. Sorg/I. Höhn/M. Ginter/C. Günter/A. Mehmedi/F. Coquelin/N. Höfler/M. Hanke/S. Freis,1,0,6,4,3,4,5,3,7,12,7,3,60,40
2013/2014,15,Nürnberg,Mainz 05,06/12/2013,20:30,R. Schäfer/E. Pogatetz/M. Hasebe/P. Nilsson/A. Hloušek/M. Plattenhardt/H. Kiyotake/T. Chandler/M. Frantz/D. Ginczek/J. Drmic,L. Karius/N. Noveski/Zdeněk Pospěch/J. Díaz/S. Bell/N. Zimling/Park Joo-Ho/N. Müller/J. Geis/S. Okazaki/S. Polter,1,1,14,3,5,6,7,5,6,8,5,4,58,42
2013/2014,15,Borussia Mönchengladbach,Schalke 04,07/12/2013,15:30,M. ter Stegen/O. Wendt/M. Stranzl/T. Jantschke/J. Korb/J. Arango/G. Xhaka/C. Kramer/Raffael/M. Kruse/P. Herrmann,R. Fährmann/A. Uchida/B. Höwedes/Felipe Santana/J. Matip/S. Kolašinac/K. Boateng/R. Neustädter/J. Draxler/M. Meyer/J. Farfán,2,1,8,1,6,3,6,6,10,15,2,2,55,45
2013/2014,15,Stuttgart,Hannover 96,07/12/2013,15:30,S. Ulreich/D. Schwaab/K. Rausch/G. Sakai/A. Rüdiger/M. Leitner/R. Khedira/V. Ibišević/M. Harnik/I. Traoré/T. Werner,R. Zieler/Marcelo/S. Pocognoli/H. Sakai/A. Hoffmann/S. Sané/S. Huszti/L. Andreasen/M. Schmiedebach/M. Diouf/A. Sobiech,4,2,3,3,4,2,5,8,15,19,4,2,48,52
2013/2014,15,Werder Bremen,Bayern Munich,07/12/2013,15:30,R. Wolf/A. Lukimya/T. Gebre Selassie/L. Caldirola/S. García/C. Makiadi/C. Fritz/A. Hunt/E. Elia/N. Petersen/F. Di Santo,M. Neuer/Rafinha/D. Van Buyten/J. Boateng/D. Alaba/F. Ribéry/T. Kroos/Thiago Alcântara/M. Götze/M. Mandžukić/T. Müller,0,7,2,7,3,2,2,5,13,14,3,2,28,72
2013/2014,15,Hamburger SV,Augsburg,07/12/2013,15:30,R. Adler/M. Jansen/J. Djourou/M. Mancienne/J. Tah/T. Rincón/M. Beister/M. Badelj/T. Arslan/H. Çalhanoğlu/P. Lasogga,M. Hitz/J. Callsen-Bracker/P. Verhaegh/R. Klavan/K. Vogt/M. Ostrzolek/Halil Altıntop/T. Werner/D. Baier/A. Hahn/R. Bobadilla,0,1,7,11,2,3,0,2,14,17,0,0,47,53
2013/2014,15,Eintracht Frankfurt,Hoffenheim,07/12/2013,15:30,K. Trapp/C. Zambrano/B. Oczipka/Anderson Bamba/S. Jung/P. Schwegler/T. Inui/J. Flum/S. Rode/V. Kadlec/Joselu,J. Grahl/A. Beck/J. Vestergaard/J. Toljan/N. Süle/E. Polanski/S. Rudy/K. Herdling/S. Schipplock/K. Volland/Roberto Firmino,1,2,4,4,5,3,6,4,21,25,2,3,59,41
